date,price
5/9/2022,1269.62
5/6/2022,1329.26
5/5/2022,1360.68
5/4/2022,1348.68
4/29/2022,1366.80
4/28/2022,1350.99
4/27/2022,1353.77
4/26/2022,1341.34
4/25/2022,1310.92
4/22/2022,1379.23
4/21/2022,1370.21
4/20/2022,1384.72
4/19/2022,1406.45
4/18/2022,1432.60
4/15/2022,1458.56
4/14/2022,1472.12
4/13/2022,1477.20
4/12/2022,1455.25
4/8/2022,1482.00
4/7/2022,1502.35
4/6/2022,1522.90
4/5/2022,1520.03
4/4/2022,1524.70
4/1/2022,1516.44
3/31/2022,1492.15
3/30/2022,1490.51
3/29/2022,1497.76
3/28/2022,1483.18
3/25/2022,1498.50
3/24/2022,1498.26
3/23/2022,1502.34
3/22/2022,1503.78
3/21/2022,1494.95
3/18/2022,1469.10
3/17/2022,1461.34
3/16/2022,1459.33
3/15/2022,1452.74
3/14/2022,1446.25
3/11/2022,1466.54
3/10/2022,1479.08
3/9/2022,1473.74
3/8/2022,1473.71
3/7/2022,1499.05
3/4/2022,1505.33
3/3/2022,1505.00
3/2/2022,1485.52
3/1/2022,1498.78
2/28/2022,1490.13
2/25/2022,1498.89
2/24/2022,1494.85
2/23/2022,1512.30
2/22/2022,1503.47
2/21/2022,1510.84
2/18/2022,1504.84
2/17/2022,1507.99
2/16/2022,1492.10
2/15/2022,1492.75
2/14/2022,1471.96
2/11/2022,1501.71
2/10/2022,1506.79
2/9/2022,1505.38
2/8/2022,1500.99
2/7/2022,1497.66
1/28/2022,1478.96
1/27/2022,1470.76
1/26/2022,1481.58
1/25/2022,1479.58
1/24/2022,1439.71
1/21/2022,1472.89
1/20/2022,1465.30
1/19/2022,1442.79
1/18/2022,1438.94
1/17/2022,1452.84
1/14/2022,1496.02
1/13/2022,1496.05
1/12/2022,1510.51
1/11/2022,1492.31
1/10/2022,1503.71
1/7/2022,1528.48
1/6/2022,1528.57
1/5/2022,1522.50
1/4/2022,1525.58
12/31/2021,1498.28
12/30/2021,1485.97
12/29/2021,1485.82
12/28/2021,1494.39
12/27/2021,1488.88
12/24/2021,1477.03
12/23/2021,1456.96
12/22/2021,1477.67
12/21/2021,1478.74
12/20/2021,1477.33
12/17/2021,1479.79
12/16/2021,1476.61
12/15/2021,1475.50
12/14/2021,1476.02
12/13/2021,1476.21
12/10/2021,1463.54
12/9/2021,1467.98
12/8/2021,1452.87
12/7/2021,1446.77
12/6/2021,1413.58
12/3/2021,1443.32
12/2/2021,1482.05
12/1/2021,1485.19
11/30/2021,1478.44
11/29/2021,1484.84
11/26/2021,1493.03
11/25/2021,1500.81
11/24/2021,1488.87
11/23/2021,1463.63
11/22/2021,1447.25
11/19/2021,1452.35
11/18/2021,1469.83
11/17/2021,1475.85
11/16/2021,1466.45
11/15/2021,1476.57
11/12/2021,1473.37
11/11/2021,1462.35
11/10/2021,1465.02
11/9/2021,1461.50
11/8/2021,1467.57
11/5/2021,1456.51
11/4/2021,1448.34
11/3/2021,1444.30
11/2/2021,1452.46
11/1/2021,1438.97
10/29/2021,1444.27
10/28/2021,1438.01
10/27/2021,1423.02
10/26/2021,1391.63
10/25/2021,1385.40
10/22/2021,1389.24
10/21/2021,1384.77
10/20/2021,1393.80
10/19/2021,1395.33
10/18/2021,1395.53
10/15/2021,1392.70
10/14/2021,1391.85
10/13/2021,1391.91
10/12/2021,1394.80
10/11/2021,1394.09
10/8/2021,1372.73
10/7/2021,1365.99
10/6/2021,1362.82
10/5/2021,1354.63
10/4/2021,1339.54
10/1/2021,1334.89
9/30/2021,1342.06
9/29/2021,1339.21
9/28/2021,1339.31
9/27/2021,1324.99
9/24/2021,1351.17
9/23/2021,1352.76
9/22/2021,1350.68
9/21/2021,1339.84
9/20/2021,1350.48
